[P0] [HEARTBEAT] SimTick: 20 | NetHead: 19 | Confirmed: 16 | Missing: 4 frames
[P1] [HEARTBEAT] SimTick: 26 | NetHead: 25 | Confirmed: 22 | Missing: 4 frames
[P2] [HEARTBEAT] SimTick: 32 | NetHead: 31 | Confirmed: 29 | Missing: 3 frames
[P3] [HEARTBEAT] SimTick: 39 | NetHead: 38 | Confirmed: 35 | Missing: 4 frames
[P4] [HEARTBEAT] SimTick: 44 | NetHead: 43 | Confirmed: 41 | Missing: 3 frames
[P5] [HEARTBEAT] SimTick: 51 | NetHead: 50 | Confirmed: 47 | Missing: 4 frames
[P6] [HEARTBEAT] SimTick: 57 | NetHead: 56 | Confirmed: 53 | Missing: 4 frames
[P7] [HEARTBEAT] SimTick: 61 | NetHead: 60 | Confirmed: 59 | Missing: 2 frames
[P0] [HEARTBEAT] SimTick: 80 | NetHead: 79 | Confirmed: 76 | Missing: 4 frames
[P1] [HEARTBEAT] SimTick: 86 | NetHead: 85 | Confirmed: 82 | Missing: 4 frames
[P2] [HEARTBEAT] SimTick: 92 | NetHead: 91 | Confirmed: 89 | Missing: 3 frames
[P3] [HEARTBEAT] SimTick: 99 | NetHead: 98 | Confirmed: 95 | Missing: 4 frames
[P4] [HEARTBEAT] SimTick: 104 | NetHead: 103 | Confirmed: 101 | Missing: 3 frames
[P5] [HEARTBEAT] SimTick: 111 | NetHead: 110 | Confirmed: 107 | Missing: 4 frames
[P6] [HEARTBEAT] SimTick: 117 | NetHead: 116 | Confirmed: 113 | Missing: 4 frames
[P7] [HEARTBEAT] SimTick: 121 | NetHead: 120 | Confirmed: 119 | Missing: 2 frames
[P0] [HEARTBEAT] SimTick: 140 | NetHead: 139 | Confirmed: 136 | Missing: 4 frames
[P1] [HEARTBEAT] SimTick: 146 | NetHead: 145 | Confirmed: 142 | Missing: 4 frames
[P2] [HEARTBEAT] SimTick: 152 | NetHead: 151 | Confirmed: 149 | Missing: 3 frames
[P3] [HEARTBEAT] SimTick: 159 | NetHead: 158 | Confirmed: 155 | Missing: 4 frames
[P4] [HEARTBEAT] SimTick: 164 | NetHead: 163 | Confirmed: 161 | Missing: 3 frames
[P5] [HEARTBEAT] SimTick: 171 | NetHead: 170 | Confirmed: 167 | Missing: 4 frames
[P6] [HEARTBEAT] SimTick: 177 | NetHead: 176 | Confirmed: 173 | Missing: 4 frames
[P7] [HEARTBEAT] SimTick: 181 | NetHead: 180 | Confirmed: 179 | Missing: 2 frames
[P0] [HEARTBEAT] SimTick: 200 | NetHead: 199 | Confirmed: 196 | Missing: 4 frames
[P1] [HEARTBEAT] SimTick: 206 | NetHead: 205 | Confirmed: 202 | Missing: 4 frames
[P2] [HEARTBEAT] SimTick: 212 | NetHead: 211 | Confirmed: 209 | Missing: 3 frames
[P3] [HEARTBEAT] SimTick: 219 | NetHead: 218 | Confirmed: 215 | Missing: 4 frames
[P4] [HEARTBEAT] SimTick: 224 | NetHead: 223 | Confirmed: 221 | Missing: 3 frames
[P5] [HEARTBEAT] SimTick: 231 | NetHead: 230 | Confirmed: 227 | Missing: 4 frames
[P6] [HEARTBEAT] SimTick: 237 | NetHead: 236 | Confirmed: 233 | Missing: 4 frames
[P7] [HEARTBEAT] SimTick: 241 | NetHead: 240 | Confirmed: 239 | Missing: 2 frames
[P0] [HEARTBEAT] SimTick: 260 | NetHead: 259 | Confirmed: 256 | Missing: 4 frames
[P1] [HEARTBEAT] SimTick: 264 | NetHead: 263 | Confirmed: 261 | Missing: 3 frames
[P2] [HEARTBEAT] SimTick: 270 | NetHead: 269 | Confirmed: 268 | Missing: 2 frames
[P3] [HEARTBEAT] SimTick: 277 | NetHead: 276 | Confirmed: 274 | Missing: 3 frames
[P4] [HEARTBEAT] SimTick: 283 | NetHead: 282 | Confirmed: 280 | Missing: 3 frames
[P5] [HEARTBEAT] SimTick: 289 | NetHead: 288 | Confirmed: 286 | Missing: 3 frames
[P6] [HEARTBEAT] SimTick: 295 | NetHead: 294 | Confirmed: 292 | Missing: 3 frames
[P7] [HEARTBEAT] SimTick: 300 | NetHead: 299 | Confirmed: 298 | Missing: 2 frames
[P0] [HEARTBEAT] SimTick: 318 | NetHead: 317 | Confirmed: 315 | Missing: 3 frames
[P1] [HEARTBEAT] SimTick: 324 | NetHead: 323 | Confirmed: 321 | Missing: 3 frames
[P2] [HEARTBEAT] SimTick: 330 | NetHead: 329 | Confirmed: 328 | Missing: 2 frames
[P3] [HEARTBEAT] SimTick: 337 | NetHead: 336 | Confirmed: 334 | Missing: 3 frames
[P4] [HEARTBEAT] SimTick: 343 | NetHead: 342 | Confirmed: 340 | Missing: 3 frames
[P5] [HEARTBEAT] SimTick: 349 | NetHead: 348 | Confirmed: 346 | Missing: 3 frames
[P6] [HEARTBEAT] SimTick: 355 | NetHead: 354 | Confirmed: 352 | Missing: 3 frames
[P7] [HEARTBEAT] SimTick: 360 | NetHead: 360 | Confirmed: 358 | Missing: 2 frames
[P0] [HEARTBEAT] SimTick: 375 | NetHead: 374 | Confirmed: 373 | Missing: 2 frames
[P1] [HEARTBEAT] SimTick: 381 | NetHead: 380 | Confirmed: 379 | Missing: 2 frames
[P2] [HEARTBEAT] SimTick: 387 | NetHead: 386 | Confirmed: 385 | Missing: 2 frames
[P3] [HEARTBEAT] SimTick: 392 | NetHead: 392 | Confirmed: 389 | Missing: 3 frames
[P4] [HEARTBEAT] SimTick: 392 | NetHead: 392 | Confirmed: 389 | Missing: 3 frames
[P5] [HEARTBEAT] SimTick: 400 | NetHead: 400 | Confirmed: 397 | Missing: 3 frames
[P6] [HEARTBEAT] SimTick: 400 | NetHead: 400 | Confirmed: 399 | Missing: 1 frames
[P7] [HEARTBEAT] SimTick: 409 | NetHead: 408 | Confirmed: 406 | Missing: 3 frames
[P0] [HEARTBEAT] SimTick: 422 | NetHead: 421 | Confirmed: 420 | Missing: 2 frames
[P1] [HEARTBEAT] SimTick: 428 | NetHead: 427 | Confirmed: 426 | Missing: 2 frames
[P2] [HEARTBEAT] SimTick: 436 | NetHead: 435 | Confirmed: 433 | Missing: 3 frames
[P3] [HEARTBEAT] SimTick: 448 | NetHead: 447 | Confirmed: 445 | Missing: 3 frames
[P4] [HEARTBEAT] SimTick: 448 | NetHead: 447 | Confirmed: 445 | Missing: 3 frames
[P6] [HEARTBEAT] SimTick: 460 | NetHead: 459 | Confirmed: 457 | Missing: 3 frames
[P5] [HEARTBEAT] SimTick: 460 | NetHead: 459 | Confirmed: 457 | Missing: 3 frames
[P7] [HEARTBEAT] SimTick: 469 | NetHead: 468 | Confirmed: 466 | Missing: 3 frames
[P0] [HEARTBEAT] SimTick: 482 | NetHead: 481 | Confirmed: 480 | Missing: 2 frames
[P1] [HEARTBEAT] SimTick: 488 | NetHead: 487 | Confirmed: 486 | Missing: 2 frames
[P2] [HEARTBEAT] SimTick: 496 | NetHead: 495 | Confirmed: 493 | Missing: 3 frames
[P3] [HEARTBEAT] SimTick: 508 | NetHead: 507 | Confirmed: 505 | Missing: 3 frames
[P4] [HEARTBEAT] SimTick: 508 | NetHead: 507 | Confirmed: 505 | Missing: 3 frames
[P6] [HEARTBEAT] SimTick: 520 | NetHead: 519 | Confirmed: 517 | Missing: 3 frames
[P5] [HEARTBEAT] SimTick: 520 | NetHead: 519 | Confirmed: 517 | Missing: 3 frames
[P7] [HEARTBEAT] SimTick: 529 | NetHead: 528 | Confirmed: 526 | Missing: 3 frames
[P0] [HEARTBEAT] SimTick: 542 | NetHead: 541 | Confirmed: 540 | Missing: 2 frames
[P1] [HEARTBEAT] SimTick: 548 | NetHead: 547 | Confirmed: 546 | Missing: 2 frames
[P2] [HEARTBEAT] SimTick: 556 | NetHead: 555 | Confirmed: 553 | Missing: 3 frames
[P3] [HEARTBEAT] SimTick: 568 | NetHead: 567 | Confirmed: 565 | Missing: 3 frames
[P4] [HEARTBEAT] SimTick: 568 | NetHead: 567 | Confirmed: 565 | Missing: 3 frames
[P6] [HEARTBEAT] SimTick: 580 | NetHead: 579 | Confirmed: 577 | Missing: 3 frames
[P5] [HEARTBEAT] SimTick: 580 | NetHead: 579 | Confirmed: 577 | Missing: 3 frames
[P7] [HEARTBEAT] SimTick: 589 | NetHead: 588 | Confirmed: 586 | Missing: 3 frames
[P0] [HEARTBEAT] SimTick: 602 | NetHead: 601 | Confirmed: 600 | Missing: 2 frames
[P1] [HEARTBEAT] SimTick: 608 | NetHead: 607 | Confirmed: 606 | Missing: 2 frames
[P2] [HEARTBEAT] SimTick: 616 | NetHead: 615 | Confirmed: 613 | Missing: 3 frames
[P3] [HEARTBEAT] SimTick: 628 | NetHead: 627 | Confirmed: 625 | Missing: 3 frames
[P4] [HEARTBEAT] SimTick: 628 | NetHead: 627 | Confirmed: 625 | Missing: 3 frames
[P6] [HEARTBEAT] SimTick: 640 | NetHead: 639 | Confirmed: 637 | Missing: 3 frames
[P5] [HEARTBEAT] SimTick: 640 | NetHead: 639 | Confirmed: 637 | Missing: 3 frames
[P7] [HEARTBEAT] SimTick: 649 | NetHead: 648 | Confirmed: 646 | Missing: 3 frames
[P0] [HEARTBEAT] SimTick: 662 | NetHead: 661 | Confirmed: 660 | Missing: 2 frames
[P1] [HEARTBEAT] SimTick: 668 | NetHead: 667 | Confirmed: 666 | Missing: 2 frames
[P2] [HEARTBEAT] SimTick: 676 | NetHead: 675 | Confirmed: 673 | Missing: 3 frames
[P3] [HEARTBEAT] SimTick: 688 | NetHead: 687 | Confirmed: 685 | Missing: 3 frames
[P4] [HEARTBEAT] SimTick: 688 | NetHead: 687 | Confirmed: 685 | Missing: 3 frames
[P6] [HEARTBEAT] SimTick: 702 | NetHead: 701 | Confirmed: 698 | Missing: 4 frames
[P5] [HEARTBEAT] SimTick: 702 | NetHead: 702 | Confirmed: 700 | Missing: 2 frames
[P7] [HEARTBEAT] SimTick: 708 | NetHead: 707 | Confirmed: 706 | Missing: 2 frames
[P0] [HEARTBEAT] SimTick: 722 | NetHead: 721 | Confirmed: 720 | Missing: 2 frames
[P1] [HEARTBEAT] SimTick: 728 | NetHead: 727 | Confirmed: 726 | Missing: 2 frames
[P2] [HEARTBEAT] SimTick: 736 | NetHead: 735 | Confirmed: 733 | Missing: 3 frames
[P3] [HEARTBEAT] SimTick: 747 | NetHead: 746 | Confirmed: 745 | Missing: 2 frames
[P4] [HEARTBEAT] SimTick: 747 | NetHead: 746 | Confirmed: 745 | Missing: 2 frames
[P6] [HEARTBEAT] SimTick: 762 | NetHead: 761 | Confirmed: 759 | Missing: 3 frames
[P5] [HEARTBEAT] SimTick: 762 | NetHead: 761 | Confirmed: 760 | Missing: 2 frames
[P7] [HEARTBEAT] SimTick: 768 | NetHead: 767 | Confirmed: 766 | Missing: 2 frames
[P0] [HEARTBEAT] SimTick: 783 | NetHead: 782 | Confirmed: 781 | Missing: 2 frames
